Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
Masters,"[2015,2020)",Pune,3,Any,Female,No,2,0
Bachelors,2015,Bangalore,3,"[35,39)",Male,No,5,0
Bachelors,"[2015,2020)",Pune,3,"[25,29)",Female,No,"[0,5)",1
Bachelors,"[2010,2015)",New Delhi,3,"[25,29)",Male,No,"[0,5)",0
Bachelors,2015,Bangalore,3,25,Male,No,3,0
Bachelors,"[2015,2020)",Pune,3,Any,Male,No,"[0,5)",0
Bachelors,Any,Bangalore,1,27,Male,No,5,0
PHD,"[2015,2020)",New Delhi,3,Any,Female,No,"[0,5)",0
Bachelors,2017,Bangalore,3,Any,Male,No,"[0,5)",0
Masters,2017,Bangalore,Any,28,Male,No,2,0
Masters,2017,Any,Any,"[30,40)",Male,Yes,2,0
Bachelors,Any,New Delhi,3,"[30,40)",Female,No,"[0,5)",1
Masters,2017,New Delhi,Any,40,Any,No,"[0,5)",0
Bachelors,"[2010,2015)",Bangalore,3,"[30,34)",Male,No,"[0,5)",0
Bachelors,Any,Bangalore,1,27,Male,No,5,0
Masters,2017,Any,2,27,Male,No,5,0
Bachelors,2014,Bangalore,3,25,Male,No,3,0
Bachelors,2016,Bangalore,3,"[20,30)",Male,No,2,0
Bachelors,"[2010,2015)",Bangalore,3,"[30,34)",Female,No,"[0,5)",1
Bachelors,"[2015,2020)",New Delhi,3,"[25,29)",Female,No,"[0,5)",0
Bachelors,2015,Pune,2,"[25,29)",Female,No,"[0,5)",1
Masters,"[2010,2015)",Pune,3,27,Male,No,5,1
Bachelors,"[2010,2015)",Bangalore,3,25,Female,No,3,1
Bachelors,"[2015,2020)",Pune,3,"[30,40)",Male,No,"[0,5)",0
Any,2012,Bangalore,3,Any,Any,No,Any,0
Bachelors,"[2015,2020)",Bangalore,3,"[35,39)",Female,No,"[0,5)",0
Bachelors,2013,Bangalore,3,26,Female,No,4,0
Post-grad,"[2010,2015)",New Delhi,3,25,Any,No,3,0
Bachelors,2015,Pune,2,"[25,29)",Female,No,"[0,5)",1
Bachelors,"[2015,2020)",New Delhi,3,"[25,29)",Male,No,"[0,5)",0
Bachelors,"[2015,2020)",Pune,3,Any,Male,No,"[0,5)",1
Bachelors,2015,Pune,2,"[25,29)",Female,Yes,"[0,5)",1
Bachelors,"[2010,2015)",Pune,2,"[25,29)",Female,No,"[0,5)",1
Masters,"[2015,2020)",Any,2,27,Female,No,5,0
Masters,2017,Bangalore,Any,28,Male,No,2,0
Bachelors,"[2015,2020)",Bangalore,3,"[25,29)",Male,Yes,"[0,5)",0
Bachelors,2015,Bangalore,3,"[35,39)",Male,No,5,0
Bachelors,2013,Bangalore,3,"[30,40)",Male,No,5,0
Masters,2017,Any,2,27,Male,No,5,1
Bachelors,"[2010,2015)",New Delhi,3,"[30,40)",Male,No,"[0,5)",0
Bachelors,"[2015,2020)",Bangalore,3,"[30,40)",Male,Yes,"[0,5)",0
Bachelors,2013,Bangalore,3,26,Female,No,4,0
Bachelors,"[2015,2020)",Pune,2,24,Female,No,2,1
Bachelors,"[2010,2015)",Bangalore,3,Any,Male,Yes,"[0,5)",0
Bachelors,"[2015,2020)",Pune,2,24,Female,No,2,1
Bachelors,2017,Any,3,"[30,40)",Female,No,Any,0
Masters,2017,New Delhi,2,"[20,30)",Female,No,"[0,5)",1
Bachelors,2017,Bangalore,3,Any,Male,No,"[0,5)",1
Bachelors,"[2015,2020)",Bangalore,3,"[25,29)",Male,No,5,0
Bachelors,2015,Pune,2,"[25,29)",Female,Yes,"[0,5)",1
Any,"[2010,2015)",New Delhi,3,"[25,29)",Male,No,5,1
Bachelors,"[2015,2020)",Pune,3,Any,Male,No,"[0,5)",0
Bachelors,"[2010,2015)",Bangalore,1,Any,Female,No,Any,0
Masters,2013,New Delhi,3,Any,Any,No,"[0,5)",0
Bachelors,"[2015,2020)",Pune,2,"[30,40)",Female,No,"[0,5)",1
Bachelors,Any,Pune,3,"[25,29)",Female,Yes,"[0,5)",0
Bachelors,2015,Bangalore,3,"[30,34)",Any,No,"[0,5)",0
Bachelors,"[2015,2020)",Bangalore,3,26,Male,No,4,1
Bachelors,"[2015,2020)",Bangalore,1,24,Male,No,2,0
Masters,"[2015,2020)",Pune,3,Any,Female,No,2,0
Bachelors,2015,Pune,2,Any,Female,No,2,1
Bachelors,"[2015,2020)",Bangalore,1,24,Male,No,2,0
Masters,2017,Any,2,Any,Male,No,Any,0
Masters,2017,Any,2,Any,Male,No,Any,1
Bachelors,2017,Pune,2,"[20,30)",Male,No,"[0,5)",1
Bachelors,2012,Bangalore,3,28,Female,No,"[0,5)",1
Masters,2013,New Delhi,3,Any,Any,No,"[0,5)",0
Masters,2017,New Delhi,2,"[20,30)",Female,No,"[0,5)",0
Masters,2017,New Delhi,2,"[20,30)",Female,No,"[0,5)",0
Masters,Any,New Delhi,3,"[25,29)",Female,No,"[0,5)",0
Bachelors,2013,Bangalore,3,"[30,40)",Male,No,5,0
Bachelors,"[2015,2020)",Pune,2,"[20,30)",Female,No,"[0,5)",1
Masters,"[2010,2015)",Pune,3,27,Male,No,5,0
Any,2014,Bangalore,3,"[25,29)",Male,No,Any,1
Bachelors,2013,New Delhi,3,"[30,40)",Female,No,"[0,5)",1
Bachelors,"[2010,2015)",Bangalore,3,"[25,29)",Female,No,"[0,5)",1
Bachelors,"[2010,2015)",Bangalore,3,"[30,34)",Male,No,"[0,5)",1
Bachelors,"[2010,2015)",Bangalore,3,"[25,29)",Male,No,5,0
Bachelors,2017,New Delhi,Any,27,Any,No,5,0
Bachelors,2013,Pune,3,28,Male,No,"[0,5)",0
Bachelors,"[2010,2015)",Pune,2,"[25,29)",Female,No,"[0,5)",1
Bachelors,2014,Bangalore,3,24,Male,No,2,0
Bachelors,2013,Bangalore,Any,"[35,39)",Female,No,"[0,5)",1
Masters,"[2015,2020)",New Delhi,Any,"[25,29)",Male,Yes,Any,1
Bachelors,2017,New Delhi,2,"[20,30)",Male,No,"[0,5)",0
Masters,Any,New Delhi,3,"[25,29)",Female,No,"[0,5)",1
Bachelors,"[2015,2020)",Bangalore,3,"[30,40)",Male,No,"[0,5)",0
Bachelors,2014,Bangalore,3,24,Male,No,2,0
Bachelors,"[2010,2015)",Bangalore,3,"[30,34)",Male,No,"[0,5)",0
